Country,Region, Harmful Subsidies Provided (USD) , Harmful Subsidies Burden (USD) ,HDI (2017),HDI_group, Beneficial subsidies (USD) , Ben Subs ,EPI fish Stock Status,Stock Status,EPI MPAs,MPAs
Albania,Europe," 6,987,694.43 "," 6,987,694.43 ",0.784910973,High," 1,594,098.84 ",Very Low,0,Very Low,0,Very Low
Algeria,Africa," 208,423,164.29 "," 226,014,825.36 ",0.753767535,High," 6,667,292.38 ",Low,1.9,Low,0.6,Low
Angola,Africa," 43,050,047.71 "," 1,424,211.58 ",0.581178565,Very Low," 7,618,434.17 ",Low,16.9,Very High,0,Very Low
Antigua Barb,"South, Central America and Carribbean"," 1,291,245.97 "," 109,767,897.62 ",0.77953591,High," 2,894,567.73 ",Low,1.4,Low,1.2,Low
Argentina,"South, Central America and Carribbean"," 242,828,876.50 "," 1,291,245.97 ",0.82484965,High," 50,335,419.07 ",Very High,0.7,Low,43,Very High
Australia,Oceania," 28,312,559.22 "," 242,828,876.50 ",0.938631285,Very High," 337,939,643.61 ",Very High,0.7,Low,100,Very High
Bahamas,"South, Central America and Carribbean"," 4,625,550.54 "," 29,843,411.74 ",0.807126296,High," 13,386,247.37 ",High,9.4,High,71.3,Very High
Bahrain,Asia," 11,248,645.02 "," 4,677,305.03 ",0.846108339,Very High," 13,565,057.33 ",High,0,Very Low,10.3,High
Bangladesh,Asia," 91,382,777.19 "," 8,141,764.64 ",0.608155837,Very Low," 20,666,473.45 ",High,34.5,Very High,29.9,High
Barbados,"South, Central America and Carribbean"," 2,576,812.47 "," 94,944,366.32 ",0.800268631,High," 830,330.57 ",Very Low,3.8,Low,0.1,Low
Belgium,Europe," 26,713,754.43 "," 2,481,895.09 ",0.916066037,Very High," 5,549,776.00 ",Low,0,Very Low,100,Very High
Belize,"South, Central America and Carribbean"," 47,094,059.71 "," 1,191,227.91 ",0.707553154,Low," 14,245,928.78 ",High,0,Very Low,100,Very High
Benin,Africa," 1,121,835.02 "," 637,984.59 ",0.514619673,Very Low," 9,684,012.64 ",Low,0,Very Low,0,Very Low
Bosnia Herzg,Europe,," 2,516,848.85 ",0.768450831,High," 7,849.27 ",Very Low,0,Very Low,0,Very Low
Brazil,"South, Central America and Carribbean"," 256,090,434.84 "," 246,411,641.14 ",0.75924537,High," 246,102,456.59 ",Very High,8.3,High,100,Very High
Brunei Darsm,Asia," 1,076,874.75 "," 1,296,821.84 ",0.853266972,Very High," 3,596,110.21 ",Low,0,Very Low,1.2,Low
Bulgaria,Europe," 7,496,382.23 "," 7,554,600.33 ",0.813006249,High," 7,826,446.66 ",Low,0,Very Low,55.8,Very High
Cambodia,Asia," 11,468,746.05 "," 132,298,179.73 ",0.581975041,Very Low," 49,895,905.24 ",Very High,5.2,Low,0,Very Low
Cameroon,Africa," 19,506,914.92 "," 23,730,638.62 ",0.555938482,Very Low," 7,216,436.39 ",Low,0,Very Low,0,Very Low
Canada,North America," 194,214,011.39 "," 196,455,815.72 ",0.925952399,Very High," 388,167,958.86 ",Very High,5.1,Low,27,High
Cape Verde,Africa," 19,243,169.15 "," 16,006,821.19 ",0.654030718,Low," 2,727,490.81 ",Low,10.6,High,0,Very Low
Chile,"South, Central America and Carribbean"," 133,079,896.02 "," 111,022,712.26 ",0.842858781,High," 118,950,626.62 ",Very High,5.9,Low,100,Very High
China,Asia," 5,885,641,061.87 "," 3,020,923,669.49 ",0.751703947,High," 434,492,328.52 ",Very High,19.8,Very High,1.6,Low
Colombia,"South, Central America and Carribbean"," 11,480,480.68 "," 7,282,561.84 ",0.747045383,Low," 20,506,252.77 ",High,17.1,Very High,100,Very High
Comoros,Africa," 55,700,004.24 "," 49,672,427.39 ",0.503253555,Very Low," 3,439,064.97 ",Low,23.8,Very High,0.2,Low
Comoros Isl.,, -   ,,,Very Low, -   ,Very Low,0,Very Low,0,Very Low
Congo Dem Rep,Africa," 302,615.39 "," 6,256.10 ",0.457469213,Very Low," 3,281,955.47 ",Low,0,Very Low,0,Very Low
Congo Republic,Africa," 1,503,013.49 "," 3,523,220.82 ",0.606282582,Very Low," 1,352,794.49 ",Very Low,0,Very Low,0,Very Low
Cook Islands,, -   ,,,Very Low, -   ,Very Low,0,Very Low,0,Very Low
Costa Rica,"South, Central America and Carribbean"," 3,931,996.86 "," 17,557,369.33 ",0.793864632,High," 10,717,630.01 ",High,10.4,High,23.2,High
Cote d'Ivoire,Africa," 54,456,712.58 "," 1,852,579.97 ",0.492304502,Very Low," 4,338,949.50 ",Low,10.2,High,1,Low
Croatia,Europe," 3,884,008.51 "," 2,891,635.50 ",0.831102279,High," 39,756,746.84 ",High,21.8,Very High,74.9,Very High
Cuba,"South, Central America and Carribbean"," 2,470,967.11 "," 75,979,360.74 ",0.777267606,High," 23,813,051.41 ",High,2.9,Low,15.1,High
Cyprus,Asia," 27,475,485.01 "," 3,868,153.59 ",0.868784385,Very High," 1,913,317.56 ",Very Low,10.4,High,0.5,Low
Denmark,Europe," 106,188,458.10 "," 2,379,447.54 ",0.929474111,Very High," 130,640,940.80 ",Very High,5.1,Low,100,Very High
Djibouti,Africa," 3,167,634.43 "," 27,475,485.01 ",0.476005731,Very Low," 1,876,666.66 ",Very Low,0,Very Low,1.8,Low
Dominica,"South, Central America and Carribbean"," 3,584,785.14 "," 94,967,228.63 ",0.715056593,Low," 1,177,174.02 ",Very Low,0,Very Low,0.4,Low
Dominican Rp,"South, Central America and Carribbean"," 3,512,876.20 "," 6,758,100.30 ",0.735797919,Low," 17,407,857.57 ",High,27.4,Very High,100,Very High
Ecuador,"South, Central America and Carribbean"," 10,315,241.55 "," 385,578.12 ",0.751899753,High," 67,561,500.69 ",Very High,9,High,100,Very High
Egypt,Africa," 48,447,642.52 "," 3,512,578.01 ",0.695607556,Low," 25,108,725.22 ",High,9.5,High,10.3,High
El Salvador,"South, Central America and Carribbean"," 1,823,204.48 "," 21,761,832.74 ",0.674158727,Low," 2,321,360.16 ",Very Low,0,Very Low,2.7,High
Equatorial Guinea,Africa," 1,034,906.14 "," 38,785,579.72 ",0.590561035,Very Low," 1,657,865.28 ",Very Low,15.8,Very High,1.9,Low
Eritrea,Africa," 10,613,131.90 "," 949,519.80 ",0.439978538,Very Low," 11,328,142.89 ",High,18.1,Very High,0,Very Low
Estonia,Europe," 36,072,613.76 "," 5,458,576.90 ",0.871042039,Very High," 48,784,153.83 ",Very High,36.2,Very High,100,Very High
Fiji,Oceania," 24,802,688.92 "," 12,303,718.57 ",0.740787955,Low," 34,713,236.81 ",High,10.7,High,9.5,High
Finland,Europe," 12,555,321.83 "," 20,495,626.73 ",0.919652775,Very High," 71,671,612.58 ",Very High,22.9,Very High,100,Very High
France,Europe," 163,528,207.60 "," 11,720,043.76 ",0.90080244,Very High," 130,867,182.56 ",Very High,14.4,Very High,100,Very High
French Guiana,"South, Central America and Carribbean", -   ," 17,852,237.31 ",0.7,Low, -   ,Very Low,0,Very Low,0,Very Low
Gabon,Africa," 24,247,172.99 "," 108,065,716.63 ",0.702216426,Low," 35,641,301.65 ",High,5.5,Low,100,Very High
Gambia,Africa," 17,589,103.49 "," 938,980.26 ",0.460067236,Very Low," 2,562,249.53 ",Very Low,0,Very Low,0,Very Low
Georgia,Europe," 2,438,522.28 "," 60,796,983.78 ",0.779822329,High," 12,714,673.02 ",High,0,Very Low,0,Very Low
Germany,Europe," 70,746,630.51 "," 44,007,593.90 ",0.93604342,Very High," 122,143,103.45 ",Very High,4.9,Low,100,Very High
Ghana,Africa," 137,565,828.22 "," 20,448,312.90 ",0.591738194,Very Low," 7,979,323.39 ",Low,6.9,High,1.1,Low
Greece,Europe," 144,627,567.40 "," 23,697,741.21 ",0.869934067,Very High," 64,976,278.24 ",Very High,4.5,Low,40.5,High
Grenada,"South, Central America and Carribbean"," 1,775,182.93 "," 121,214,972.10 ",0.771948499,High," 1,248,388.46 ",Very Low,0,Very Low,1,Low
Guatemala,"South, Central America and Carribbean"," 4,165,161.56 "," 102,459,926.94 ",0.650311623,Low," 3,438,777.27 ",Low,15,Very High,0.2,Low
Guinea,Africa," 16,520,315.28 "," 1,401,656.41 ",0.459111122,Very Low," 2,440,144.60 ",Very Low,28.1,Very High,0,Very Low
Guinea-Bissau,Africa," 91,002.75 "," 1,267,306.36 ",0.455303553,Very Low," 5,513,542.42 ",Low,3.5,Low,59.3,Very High
Guyana,"South, Central America and Carribbean"," 5,333,206.41 "," 198,424,910.32 ",0.653637243,Low," 1,498,697.26 ",Very Low,7.3,High,0,Very Low
Haiti,"South, Central America and Carribbean"," 1,695,638.21 "," 187,897,238.02 ",0.497945111,Very Low," 1,485,827.23 ",Very Low,18.9,Very High,6.9,High
High Seas,high_seas, -   ," 5,295,886.49 ",high_seas,Very High, -   ,Very Low,0,Very Low,0,Very Low
Honduras,"South, Central America and Carribbean"," 3,787,045.50 "," 1,714,251.94 ",0.616716749,Very Low," 8,855,281.02 ",Low,16.5,Very High,39.6,High
Hong Kong,Asia," 112,854,433.87 "," 1,087,113,003.28 ",0.932582914,Very High," 1,338,136.82 ",Very Low,0,Very Low,0,Very Low
Iceland,Europe," 90,865,742.01 "," 3,787,045.50 ",0.934879252,Very High," 57,868,842.53 ",Very High,2.8,Low,3.6,High
India,Asia," 174,403,694.44 "," 691,314.58 ",0.639832911,Low," 82,960,786.65 ",Very High,17,Very High,1.2,Low
Indonesia,Asia," 565,989,649.14 "," 89,143,609.57 ",0.693979664,Low," 308,572,758.84 ",Very High,11.9,High,29.6,High
Iran,Asia," 35,220,636.95 "," 270,359,215.48 ",0.798057343,High," 88,849,201.62 ",Very High,10.3,High,1.2,Low
Iraq,Asia," 454,381.89 "," 913,093,431.42 ",0.685317078,Low," 617,482.28 ",Very Low,0,Very Low,0,Very Low
Ireland,Europe," 68,316,942.70 "," 36,403,508.34 ",0.938410059,Very High," 103,688,795.79 ",Very High,11.8,High,21.3,High
Israel,Asia," 108,106.96 "," 454,381.89 ",0.903244841,Very High," 1,484,739.90 ",Very Low,0,Very Low,0.3,Low
Italy,Europe," 192,795,776.94 "," 141,255,459.53 ",0.879769445,Very High," 68,842,304.07 ",Very High,0.6,Low,45.9,Very High
Jamaica,"South, Central America and Carribbean"," 21,991,967.17 "," 108,106.96 ",0.732240923,Low," 9,519,379.50 ",Low,0.7,Low,1.5,Low
Japan,Asia," 2,110,570,533.89 "," 158,150,766.19 ",0.909152957,Very High," 534,081,436.21 ",Very High,1.1,Low,71.5,Very High
Jordan,Asia," 41,621.65 "," 21,991,967.17 ",0.73537314,Low," 105,387.07 ",Very Low,0,Very Low,0,Very Low
Kenya,Africa," 47,254,071.23 "," 3,196,771,978.56 ",0.589920177,Very Low," 10,378,950.31 ",Low,5.2,Low,4,High
