,eezid,EEZName
0,8,Albania
1,12,Algeria
2,16,American Samoa
3,24,Angola
4,28,Antigua & Barbuda
5,32,Argentina
6,36,Australia
7,37,Macquarie Isl. (Australia)
8,38,Lord Howe Isl. (Australia)
9,44,Bahamas
10,48,Bahrain
11,50,Bangladesh
12,52,Barbados
13,56,Belgium
14,60,Bermuda (UK)
15,70,Bosnia & Herzegovina
16,74,Bouvet Isl. (Norway)
17,76,Brazil
18,77,Trindade & Martim Vaz Isl. (Brazil)
19,84,Belize
20,86,Chagos Archipelago (UK)
21,90,Solomon Isl.
22,92,British Virgin Isl. (UK)
23,96,Brunei Darussalam
24,100,Bulgaria
25,104,Myanmar
26,111,Eritrea
27,116,Cambodia
28,120,Cameroon
29,132,Cape Verde
30,136,Cayman Isl. (UK)
31,144,Sri Lanka
32,152,Chile
33,153,Easter Isl. (Chile)
34,154,Desventuradas Isl. (Chile)
35,155,Juan Fernandez Islands (Chile)
36,156,China
37,157,Taiwan
38,162,Christmas Isl. (Australia)
39,166,Cocos (Keeling) Isl. (Australia)
40,174,Comoros Isl.
41,175,Mayotte (France)
42,178,"Congo, R. of"
43,180,Congo (ex-Zaire)
44,184,Cook Islands
45,191,Croatia
46,192,Cuba
47,197,Cyprus (North)
48,198,Cyprus (South)
49,204,Benin
50,212,Dominica
51,214,Dominican Republic
52,218,Ecuador
53,219,Galapagos Isl. (Ecuador)
54,222,El Salvador
55,226,Equatorial Guinea
56,233,Estonia
57,234,Faeroe Isl. (Denmark)
58,238,Falkland Isl. (UK)
59,239,South Georgia & Sandwich Isl. (UK)
60,242,Fiji
61,246,Finland
62,251,Mozambique Channel Isl. (France)
63,252,Tromelin Isl. (France)
64,254,French Guiana
65,258,French Polynesia
66,262,Djibouti
67,266,Gabon
68,268,Georgia
69,270,Gambia
70,274,Gaza Strip
71,277,Germany (North Sea)
72,278,Germany (Baltic Sea)
73,288,Ghana
74,300,Greece
75,304,Greenland
76,308,Grenada
77,312,Guadeloupe  (France)
78,316,Guam (USA)
79,324,Guinea
80,328,Guyana
81,332,Haiti
82,334,Heard & McDonald Isl. (Australia)
83,344,Hong Kong (China)
84,352,Iceland
85,356,India (mainland)
86,357,Andaman & Nicobar Isl. (India)
87,361,Indonesia (Eastern)
88,368,Iraq
89,372,Ireland
90,380,Italy
91,384,Côte d'Ivoire
92,388,Jamaica
93,390,Japan (main islands)
94,393,Japan (Daito Islands)
95,396,Johnston Atoll (USA)
96,400,Jordan
97,404,Kenya
98,410,Korea (South)
99,414,Kuwait
100,422,Lebanon
101,428,Latvia
102,430,Liberia
103,434,Libya
104,440,Lithuania
105,450,Madagascar
106,459,Malaysia (Peninsula West)
107,460,Malaysia (Peninsula East)
108,461,Malaysia (Sabah)
109,462,Maldives
110,463,Malaysia (Sarawak)
111,470,Malta
