Region Name,Country,Type,Subsidies amount (USD in 2018),Data Type,Source of information
Africa,Algeria,Fisheries mangt.,1629280.79019308,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management', 'Algeria Plan Aquapeche 2015-2019']"
Africa,Algeria,Fishery R&D,4529977.6455661,Reported,['Algeria Plan Aquapeche 2015-2019']
Africa,Algeria,MPAs,508033.944725218,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Algeria,Boat constsruct. & renov.,43901678.5800983,Reported,"['Algeria Plan Aquapeche 2015-2019', 'Algeria Schema Directeur Peche']"
Africa,Algeria,Fisheries dev. projects,25878295.6340671,Reported,"['OECDStat, Overseas Development Aid, Fishery Development', 'Algeria Plan Aquapeche 2015-2019']"
Africa,Algeria,Fishing port develop.,31776201.7681191,Reported,"['Algeria Plan Aquapeche 2015-2019', 'Algeria Schema Directeur Peche']"
Africa,Algeria,Markt. & storage infrast.,55303477.0896195,Reported,['Algeria Plan Aquapeche 2015-2019']
Africa,Algeria,Tax exemption,0,not found evidence of subsidy,
Africa,Algeria,Fishing access,0,not found evidence of subsidy,
Africa,Algeria,Fuel subsidies,51563511.2234098,Modeled,
Africa,Algeria,Fisher assistance,3822168.6384464,Reported,['Algeria Plan Aquapeche 2015-2019']
Africa,Algeria,Vessel buyback,0,not found evidence of subsidy,
Africa,Algeria,Rural fisher communities,9191270.44400933,Reported,"['Algeria Plan Aquapeche 2015-2019', 'Algeria Schema Directeur Peche']"
Africa,Angola,Fisheries mangt.,7402331.28860073,Reported,"['Angola Budget 2017', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Angola,Fishery R&D,216102.885529243,Reported,['Angola Budget 2017']
Africa,Angola,MPAs,0,not found evidence of subsidy,
Africa,Angola,Boat constsruct. & renov.,12842685.768595,Reported,['Angola Budget 2017']
Africa,Angola,Fisheries dev. projects,6528959.53659246,Reported,"['Angola Budget 2017', 'OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Angola,Fishing port develop.,3484958.70211759,Reported,['Angola Budget 2017']
Africa,Angola,Markt. & storage infrast.,5855177.31780554,Reported,['Angola Budget 2017']
Africa,Angola,Tax exemption,12077126.5213022,Modeled,
Africa,Angola,Fishing access,377318.47,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Angola,Fuel subsidies,1883821.39452616,Modeled,
Africa,Angola,Fisher assistance,653698.2872503,Reported,['Angola Budget 2017']
Africa,Angola,Vessel buyback,0,not found evidence of subsidy,
Africa,Angola,Rural fisher communities,3679027.91649494,Reported,['Angola Budget 2017']
Africa,Benin,Fisheries mangt.,9232292.61657958,Reported,"[""Benin Budget de l'Etat Gestion 2018"", 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Benin,Fishery R&D,451720.019491815,Modeled,
Africa,Benin,MPAs,0,not found evidence of subsidy,
Africa,Benin,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Benin,Fisheries dev. projects,1121835.02143632,Reported,"[""Benin Budget de l'Etat Gestion 2018"", 'OECDStat, Overseas Development Aid, Fishery Development']"
