,Region Name,Country,Class,Category,Type,Constant 2018 USD,Data Type
12,Africa,Algeria,A1,Beneficial,Fisheries mangt.,1629280.7901930786,Reported
13,Africa,Algeria,A2,Beneficial,Fishery R&D,4529977.645566104,Reported
14,Africa,Algeria,A3,Beneficial,MPAs,508033.9447252181,Modeled
15,Africa,Algeria,B1,Capacity-enhancing,Boat constsruct. & renov.,43901678.58009829,Reported
16,Africa,Algeria,B2,Capacity-enhancing,Fisheries dev. projects,25878295.634067062,Reported
17,Africa,Algeria,B3,Capacity-enhancing,Fishing port develop.,31776201.768119127,Reported
18,Africa,Algeria,B4,Capacity-enhancing,Markt. & storage infrast.,55303477.089619525,Reported
19,Africa,Algeria,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
20,Africa,Algeria,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1829,Africa,Algeria,B7,Capacity-enhancing,Fuel subsidies,51563511.22340977,Modeled
21,Africa,Algeria,C1,Ambiguous,Fisher assistance,3822168.6384464004,Reported
22,Africa,Algeria,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
23,Africa,Algeria,C3,Ambiguous,Rural fisher communities,9191270.444009334,Reported
24,Africa,Angola,A1,Beneficial,Fisheries mangt.,7402331.288600727,Reported
25,Africa,Angola,A2,Beneficial,Fishery R&D,216102.88552924272,Reported
26,Africa,Angola,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
27,Africa,Angola,B1,Capacity-enhancing,Boat constsruct. & renov.,12842685.768594993,Reported
28,Africa,Angola,B2,Capacity-enhancing,Fisheries dev. projects,6528959.536592463,Reported
29,Africa,Angola,B3,Capacity-enhancing,Fishing port develop.,3484958.7021175856,Reported
30,Africa,Angola,B4,Capacity-enhancing,Markt. & storage infrast.,5855177.317805544,Reported
31,Africa,Angola,B5,Capacity-enhancing,Tax exemption,12077126.52130221,Modeled
32,Africa,Angola,B6,Capacity-enhancing,Fishing access,377318.47,Modeled
1830,Africa,Angola,B7,Capacity-enhancing,Fuel subsidies,1883821.3945261587,Modeled
33,Africa,Angola,C1,Ambiguous,Fisher assistance,653698.2872503,Reported
34,Africa,Angola,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
35,Africa,Angola,C3,Ambiguous,Rural fisher communities,3679027.916494944,Reported
421,Africa,Benin,A1,Beneficial,Fisheries mangt.,9232292.616579577,Reported
422,Africa,Benin,A2,Beneficial,Fishery R&D,451720.01949181536,Modeled
423,Africa,Benin,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
424,Africa,Benin,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
425,Africa,Benin,B2,Capacity-enhancing,Fisheries dev. projects,1121835.0214363167,Reported
426,Africa,Benin,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
427,Africa,Benin,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
428,Africa,Benin,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
429,Africa,Benin,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1863,Africa,Benin,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
430,Africa,Benin,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
431,Africa,Benin,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
432,Africa,Benin,C3,Ambiguous,Rural fisher communities,232400.31122424663,Modeled
240,Africa,Cameroon,A1,Beneficial,Fisheries mangt.,5131498.144371846,Reported
241,Africa,Cameroon,A2,Beneficial,Fishery R&D,609560.6983935654,Modeled
242,Africa,Cameroon,A3,Beneficial,MPAs,1475377.5464215477,Modeled
243,Africa,Cameroon,B1,Capacity-enhancing,Boat constsruct. & renov.,655684.3985256265,Modeled
244,Africa,Cameroon,B2,Capacity-enhancing,Fisheries dev. projects,17023910.092810366,Reported
245,Africa,Cameroon,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
246,Africa,Cameroon,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
