"eez","sector","layer","period","score"
Albania,Industrial,Reconstructed domestic catch,"1950-1970",2
Albania,Industrial,Reconstructed domestic catch,"1971-1990",2
Albania,Industrial,Reconstructed domestic catch,"1991-2010",3
Albania,Industrial,Reconstructed domestic catch,"2011 onwards",2
Algeria,Industrial,Reconstructed domestic catch,"1950-1970",3
Algeria,Industrial,Reconstructed domestic catch,"1971-1990",3
Algeria,Industrial,Reconstructed domestic catch,"1991-2010",3
Algeria,Industrial,Reconstructed domestic catch,"2011 onwards",2
American Samoa,Industrial,Reconstructed domestic catch,"1950-1970",0
American Samoa,Industrial,Reconstructed domestic catch,"1971-1990",0
American Samoa,Industrial,Reconstructed domestic catch,"1991-2010",0
American Samoa,Industrial,Reconstructed domestic catch,"2011 onwards",0
Angola,Industrial,Reconstructed domestic catch,"1950-1970",3
Angola,Industrial,Reconstructed domestic catch,"1971-1990",3
Angola,Industrial,Reconstructed domestic catch,"1991-2010",2
Angola,Industrial,Reconstructed domestic catch,"2011 onwards",1
Antigua & Barbuda,Industrial,Reconstructed domestic catch,"1950-1970",0
Antigua & Barbuda,Industrial,Reconstructed domestic catch,"1971-1990",0
Antigua & Barbuda,Industrial,Reconstructed domestic catch,"1991-2010",0
Antigua & Barbuda,Industrial,Reconstructed domestic catch,"2011 onwards",0
Argentina,Industrial,Reconstructed domestic catch,"1950-1970",1
Argentina,Industrial,Reconstructed domestic catch,"1971-1990",1
Argentina,Industrial,Reconstructed domestic catch,"1991-2010",2
Argentina,Industrial,Reconstructed domestic catch,"2011 onwards",1
Australia,Industrial,Reconstructed domestic catch,"1950-1970",2
Australia,Industrial,Reconstructed domestic catch,"1971-1990",3
Australia,Industrial,Reconstructed domestic catch,"1991-2010",4
Australia,Industrial,Reconstructed domestic catch,"2011 onwards",3
Macquarie Isl. (Australia),Industrial,Reconstructed domestic catch,"1950-1970",0
Macquarie Isl. (Australia),Industrial,Reconstructed domestic catch,"1971-1990",0
Macquarie Isl. (Australia),Industrial,Reconstructed domestic catch,"1991-2010",4
Macquarie Isl. (Australia),Industrial,Reconstructed domestic catch,"2011 onwards",3
Lord Howe Isl. (Australia),Industrial,Reconstructed domestic catch,"1950-1970",0
Lord Howe Isl. (Australia),Industrial,Reconstructed domestic catch,"1971-1990",0
Lord Howe Isl. (Australia),Industrial,Reconstructed domestic catch,"1991-2010",0
Lord Howe Isl. (Australia),Industrial,Reconstructed domestic catch,"2011 onwards",0
Bahamas,Industrial,Reconstructed domestic catch,"1950-1970",2
Bahamas,Industrial,Reconstructed domestic catch,"1971-1990",4
Bahamas,Industrial,Reconstructed domestic catch,"1991-2010",4
Bahamas,Industrial,Reconstructed domestic catch,"2011 onwards",3
Bahrain,Industrial,Reconstructed domestic catch,"1950-1970",1
Bahrain,Industrial,Reconstructed domestic catch,"1971-1990",1
Bahrain,Industrial,Reconstructed domestic catch,"1991-2010",1
Bahrain,Industrial,Reconstructed domestic catch,"2011 onwards",1
Bangladesh,Industrial,Reconstructed domestic catch,"1950-1970",0
Bangladesh,Industrial,Reconstructed domestic catch,"1971-1990",2
Bangladesh,Industrial,Reconstructed domestic catch,"1991-2010",3
