Country,Total_subsidies_2009_usd,SSF_subsidies_2009_USD,LSF_subsidies_2009_USD
Albania,2026637.7,202903.7,1823734.01
Algeria,6083943.72,3029556.11,3054387.61
Angola,153589981.12,73448640,80141341.12
Antigua Barb,9880936.37,9080422.08,800514.29
Argentina,278440352.03,5899011,272541341.03
Australia,489613151.83,71276860,418336291.83
Bahamas,14040546.41,1749721.49,12290824.91
Bahrain,13994471.78,10243488.74,3750983.03
Bangladesh,98203635.6,77051661.14,21151974.46
Barbados,956550.07,549292.06,407258.01
Belgium,30001963.94,0,30001963.94
Belize,8629952.91,1593185.05,7036767.87
Benin,7539260.75,7539260.75,0
Bosnia Herzg,0,0,0
Brazil,557527870.52,251763588,305764282.52
Brunei Darsm,363752.72,201119.52,162633.19
Bulgaria,26333123.65,2355169.66,23977953.99
Cambodia,4052159.69,404712.63,3647447.06
Cameroon,11887783.63,4315697,7572086.63
Canada,1102094900.34,63372272,1038722628.34
Cape Verde,9551411.36,4294514.8,5256896.56
Chile,136215544.42,8545370,127670174.42
China,4508810304.77,497734989,4011075315.77
Colombia,14047112.8,4835881.98,9211230.82
Comoros,543354.23,384672.82,158681.41
Congo Dem Rep,423508.36,212866.65,210641.71
Congo Rep,1601315.23,581503.93,1019811.3
Costa Rica,23905875.12,9391758,14514117.12
Cote d'Ivoire,10049572.94,9061784.13,987788.81
Croatia,913397.85,154994.47,758403.38
Cuba,16159233.28,14470283,1688950.28
Cyprus,11113519.09,1106802.02,10006717.07
Denmark,434814949.26,20755706.26,414059243
Djibouti,508256.38,389802.22,118454.16
Dominica,7765816.1,909239.05,6856577.05
Dominican Rp,9794998.89,9794998.89,0
Ecuador,59187981.62,10893139,48294842.62
Egypt,13528962.04,2593554,10935408.04
El Salvador,4922458.43,2370630.33,2551828.1
Eq Guinea,267422.4,54308.28,213114.12
Eritrea,1906407.28,996543.14,909864.14
Estonia,65810726.45,3581314.01,62229412.44
Fiji,12724365.7,1223905.7,11500459.99
Finland,90377972.86,4769335.64,85608637.22
France,569304084.22,128863634,440440450.22
Gabon,11957508.21,7316894,4640614.21
Gambia,3752336.63,3752336.63,0
Georgia,4366576.43,240751.43,4125825
